Mitarbeiter_ID,Durchschnitt,Maximum
83798,24.6,77.0
54466,34.666666666666664,76.0
11397,34.0,34.0
48978,1.1666666666666667,3.0
20971,0.5,2.0
79409,0.5,2.0
39460,0.3333333333333333,2.0
32736,0.6666666666666666,1.0
66011,0.5,1.0
40564,0.3333333333333333,1.0
84221,0.3333333333333333,1.0
84330,0.3333333333333333,1.0
86570,0.3333333333333333,1.0
20321,0.16666666666666666,1.0
26942,0.16666666666666666,1.0
44090,0.16666666666666666,1.0
45651,0.16666666666666666,1.0
49165,0.16666666666666666,1.0
57472,0.16666666666666666,1.0
58315,0.16666666666666666,1.0
60360,0.16666666666666666,1.0
64093,0.16666666666666666,1.0
78419,0.16666666666666666,1.0
80503,0.16666666666666666,1.0
83275,0.16666666666666666,1.0
83765,0.16666666666666666,1.0
10336,0.0,0.0
10350,0.0,0.0
10650,0.0,0.0
10772,0.0,0.0
11061,0.0,0.0
11231,0.0,0.0
11330,0.0,0.0
11517,0.0,0.0
11658,0.0,0.0
11792,0.0,0.0
11854,0.0,0.0
12011,0.0,0.0
12280,0.0,0.0
12609,0.0,0.0
12647,0.0,0.0
12719,0.0,0.0
12800,0.0,0.0
13390,0.0,0.0
13534,0.0,0.0
13552,0.0,0.0
13778,0.0,0.0
13794,0.0,0.0
13804,0.0,0.0
14098,0.0,0.0
14319,0.0,0.0
14350,0.0,0.0
14373,0.0,0.0
14480,0.0,0.0
14705,0.0,0.0
14809,0.0,0.0
14877,0.0,0.0
15167,0.0,0.0
15224,0.0,0.0
15273,0.0,0.0
15276,0.0,0.0
15383,0.0,0.0
15393,0.0,0.0
16428,0.0,0.0
16628,0.0,0.0
16752,0.0,0.0
16764,0.0,0.0
16826,0.0,0.0
16909,0.0,0.0
16950,0.0,0.0
17026,0.0,0.0
17104,0.0,0.0
17355,0.0,0.0
17551,0.0,0.0
17628,0.0,0.0
17894,0.0,0.0
18161,0.0,0.0
18291,0.0,0.0
18993,0.0,0.0
19038,0.0,0.0
19329,0.0,0.0
19359,0.0,0.0
19681,0.0,0.0
19710,0.0,0.0
19838,0.0,0.0
19841,0.0,0.0
19961,0.0,0.0
20232,0.0,0.0
20527,0.0,0.0
20543,0.0,0.0
20958,0.0,0.0
21003,0.0,0.0
21152,0.0,0.0
21164,0.0,0.0
21221,0.0,0.0
21359,0.0,0.0
21542,0.0,0.0
21863,0.0,0.0
21970,0.0,0.0
22196,0.0,0.0
22241,0.0,0.0
22418,0.0,0.0
22903,0.0,0.0
23006,0.0,0.0
23069,0.0,0.0
23154,0.0,0.0
23173,0.0,0.0
23176,0.0,0.0
23253,0.0,0.0
23363,0.0,0.0
23527,0.0,0.0
23710,0.0,0.0
24542,0.0,0.0
24871,0.0,0.0
24873,0.0,0.0
24993,0.0,0.0
25012,0.0,0.0
25015,0.0,0.0
25043,0.0,0.0
25052,0.0,0.0
25194,0.0,0.0
25525,0.0,0.0
25670,0.0,0.0
25814,0.0,0.0
25866,0.0,0.0
25873,0.0,0.0
26141,0.0,0.0
26299,0.0,0.0
26451,0.0,0.0
26544,0.0,0.0
26547,0.0,0.0
26551,0.0,0.0
26591,0.0,0.0
26930,0.0,0.0
27172,0.0,0.0
27612,0.0,0.0
27618,0.0,0.0
27927,0.0,0.0
28525,0.0,0.0
28643,0.0,0.0
28705,0.0,0.0
28894,0.0,0.0
28958,0.0,0.0
29080,0.0,0.0
29446,0.0,0.0
29476,0.0,0.0
29528,0.0,0.0
29535,0.0,0.0
29555,0.0,0.0
29594,0.0,0.0
29810,0.0,0.0
29887,0.0,0.0
29936,0.0,0.0
30052,0.0,0.0
30175,0.0,0.0
30181,0.0,0.0
30232,0.0,0.0
30585,0.0,0.0
30586,0.0,0.0
30648,0.0,0.0
30706,0.0,0.0
30758,0.0,0.0
30777,0.0,0.0
31079,0.0,0.0
31459,0.0,0.0
31465,0.0,0.0
31562,0.0,0.0
31772,0.0,0.0
31805,0.0,0.0
31992,0.0,0.0
32280,0.0,0.0
32312,0.0,0.0
32465,0.0,0.0
32490,0.0,0.0
33021,0.0,0.0
33086,0.0,0.0
33485,0.0,0.0
33519,0.0,0.0
33702,0.0,0.0
33788,0.0,0.0
33908,0.0,0.0
34258,0.0,0.0
34267,0.0,0.0
34453,0.0,0.0
34586,0.0,0.0
34920,0.0,0.0
34925,0.0,0.0
35042,0.0,0.0
35105,0.0,0.0
35787,0.0,0.0
36130,0.0,0.0
36574,0.0,0.0
36677,0.0,0.0
36680,0.0,0.0
37332,0.0,0.0
37742,0.0,0.0
37752,0.0,0.0
37802,0.0,0.0
38292,0.0,0.0
38361,0.0,0.0
38569,0.0,0.0
38705,0.0,0.0
38760,0.0,0.0
38906,0.0,0.0
39045,0.0,0.0
39451,0.0,0.0
39466,0.0,0.0
39581,0.0,0.0
39816,0.0,0.0
40005,0.0,0.0
40008,0.0,0.0
40217,0.0,0.0
40340,0.0,0.0
40433,0.0,0.0
40447,0.0,0.0
40595,0.0,0.0
40613,0.0,0.0
40771,0.0,0.0
40896,0.0,0.0
40940,0.0,0.0
41091,0.0,0.0
41266,0.0,0.0
41365,0.0,0.0
41439,0.0,0.0
41463,0.0,0.0
41566,0.0,0.0
41635,0.0,0.0
41917,0.0,0.0
41946,0.0,0.0
41963,0.0,0.0
42007,0.0,0.0
42239,0.0,0.0
42322,0.0,0.0
42411,0.0,0.0
42530,0.0,0.0
42590,0.0,0.0
42780,0.0,0.0
42951,0.0,0.0
43082,0.0,0.0
43092,0.0,0.0
43385,0.0,0.0
